27497;120,17.9566:
381313;500,324.058:
1324644;1000,1304.17:
2985764;1500,2940.35:
5322913;2000,5232.58:
8284306;2500,8180.88:
11966558;3000,11785.2:
16256314;3500,16045.6:
21588585;4000,20962.1:
26891486;4500,26534.6:
33287095;5000,32763.1:
21807;120,17.9566:
331856;500,324.058:
1324562;1000,1304.17:
2982057;1500,2940.35:
5321460;2000,5232.58:
8290759;2500,8180.88:
11973504;3000,11785.2:
16263375;3500,16045.6:
21601534;4000,20962.1:
26874199;4500,26534.6:
33304556;5000,32763.1:
22622;120,17.9566:
331854;500,324.058:
1325027;1000,1304.17:
2982849;1500,2940.35:
5321472;2000,5232.58:
8297728;2500,8180.88:
11960143;3000,11785.2:
16259012;3500,16045.6:
21567631;4000,20962.1:
26874679;4500,26534.6:
33291592;5000,32763.1:
21340;120,17.9566:
331730;500,324.058:
1328018;1000,1304.17:
2989847;1500,2940.35:
5329759;2000,5232.58:
8294570;2500,8180.88:
11957929;3000,11785.2:
16259654;3500,16045.6:
21580951;4000,20962.1:
27438293;4500,26534.6:
33275293;5000,32763.1:
24145;120,17.9566:
332069;500,324.058:
1330897;1000,1304.17:
2982276;1500,2940.35:
5320969;2000,5232.58:
8289851;2500,8180.88:
11983704;3000,11785.2:
16265369;3500,16045.6:
25394541;4000,20962.1:
26890331;4500,26534.6:
33312665;5000,32763.1:
23869;120,17.9566:
331808;500,324.058:
1324921;1000,1304.17:
2983047;1500,2940.35:
5319026;2000,5232.58:
8288387;2500,8180.88:
11965927;3000,11785.2:
16271055;3500,16045.6:
21923527;4000,20962.1:
26889353;4500,26534.6:
33288273;5000,32763.1:
22552;120,17.9566:
331895;500,324.058:
1325280;1000,1304.17:
2984784;1500,2940.35:
5326478;2000,5232.58:
8296142;2500,8180.88:
11953428;3000,11785.2:
16266882;3500,16045.6:
21582292;4000,20962.1:
26882644;4500,26534.6:
33304862;5000,32763.1:
23178;120,17.9566:
331259;500,324.058:
1325046;1000,1304.17:
2982595;1500,2940.35:
5318516;2000,5232.58:
8298558;2500,8180.88:
11964468;3000,11785.2:
16251419;3500,16045.6:
21582460;4000,20962.1:
26948951;4500,26534.6:
33305322;5000,32763.1:
23650;120,17.9566:
331356;500,324.058:
1324731;1000,1304.17:
2989614;1500,2940.35:
5324456;2000,5232.58:
8284188;2500,8180.88:
11960140;3000,11785.2:
16259575;3500,16045.6:
21594110;4000,20962.1:
26885102;4500,26534.6:
33285925;5000,32763.1:
23080;120,17.9566:
330692;500,324.058:
1356848;1000,1304.17:
2982336;1500,2940.35:
5316896;2000,5232.58:
8290745;2500,8180.88:
11957267;3000,11785.2:
16253928;3500,16045.6:
21565509;4000,20962.1:
26887398;4500,26534.6:
33304402;5000,32763.1:
